date,value
2006-04-01,6404.444444444444
2006-05-01,8059.190476190476
2006-06-01,7222.772727272727
2006-07-01,7726.738095238095
2006-08-01,7690.25
2006-09-01,7622.642857142857
2006-10-01,7497.409090909091
2006-11-01,7029.295454545455
2006-12-01,6680.973684210526
2007-01-01,5689.340909090909
2007-02-01,5718.15
2007-03-01,6465.295454545455
2007-04-01,7753.342105263158
2007-05-01,7677.952380952381
2007-06-01,7514.238095238095
2007-07-01,7980.931818181818
2007-08-01,7500.204545454545
2007-09-01,7671.35
2007-10-01,8020.586956521739
2007-11-01,6957.431818181818
2007-12-01,6630.736111111111
2008-01-01,7078.909090909091
2008-02-01,7941.142857142857
2008-03-01,8434.315789473683
2008-04-01,8714.181818181818
2008-05-01,8356.125
2008-06-01,8292.0
2008-07-01,8407.021739130436
2008-08-01,7633.8
2008-09-01,6975.113636363636
2008-10-01,4894.891304347826
2008-11-01,3729.1875
2008-12-01,3105.095238095238
2009-01-01,3260.357142857143
2009-02-01,3328.4125
2009-03-01,3770.875
2009-04-01,4436.925
2009-05-01,4591.460526315789
2009-06-01,5015.431818181818
2009-07-01,5228.413043478261
2009-08-01,6176.875
2009-09-01,6195.75
2009-10-01,6305.988636363636
2009-11-01,6682.440476190476
2009-12-01,6976.97619047619
2010-01-01,7367.375
2010-02-01,6867.675
2010-03-01,7466.934782608696
2010-04-01,7729.8375
2010-05-01,6843.157894736842
2010-06-01,6501.5
2010-07-01,6750.568181818182
2010-08-01,7302.666666666667
2010-09-01,7729.590909090909
2010-10-01,8289.761904761905
2010-11-01,8458.420454545456
2010-12-01,9152.857142857143
2011-01-01,9533.2
2011-02-01,9880.9375
2011-03-01,9503.358695652174
2011-04-01,9482.75
2011-05-01,8931.675
2011-06-01,9066.852272727274
2011-07-01,9650.464285714286
2011-08-01,8997.988636363636
2011-09-01,8300.136363636364
2011-10-01,7394.190476190476
2011-11-01,7581.022727272727
2011-12-01,7558.875
2012-01-01,8061.916666666667
2012-02-01,8441.488095238095
2012-03-01,8470.784090909092
2012-04-01,8285.526315789473
2012-05-01,7896.909090909091
2012-06-01,7428.289473684211
2012-07-01,7584.261363636364
2012-08-01,7510.431818181818
2012-09-01,8087.7425
2012-10-01,8062.032608695652
2012-11-01,7711.227272727273
2012-12-01,7966.486842105263
2013-01-01,8053.738636363636
2013-02-01,8060.925
2013-03-01,7652.375
2013-04-01,7221.161904761905
2013-05-01,7248.714285714286
2013-06-01,7000.2375
2013-07-01,6906.641304347826
2013-08-01,7186.25
2013-09-01,7159.269047619048
2013-10-01,7203.021739130435
2013-11-01,7070.654761904762
2013-12-01,7214.9
2014-01-01,7291.465909090909
2014-02-01,7149.2125
2014-03-01,6650.035714285714
2014-04-01,6673.5625
2014-05-01,6891.125
2014-06-01,6821.142857142857
2014-07-01,7113.380434782609
2014-08-01,7001.8375
2014-09-01,6872.215909090909
2014-10-01,6737.478260869565
2014-11-01,6712.85
2014-12-01,6446.452380952381
2015-01-01,5830.535714285714
2015-02-01,5729.275
2015-03-01,5939.670454545455
2015-04-01,6042.0875
2015-05-01,6294.776315789474
2015-06-01,5833.011363636364
2015-07-01,5456.75
2015-08-01,5127.3
2015-09-01,5217.25
2015-10-01,5216.090909090909
2015-11-01,4799.904761904762
2015-12-01,4638.833333333333
2016-01-01,4471.7875
2016-02-01,4598.619047619048
2016-03-01,4953.797619047619
2016-04-01,4872.738095238095
2016-05-01,4694.5375
2016-06-01,4641.965909090909
2016-07-01,4864.904761904762
2016-08-01,4751.670454545455
2016-09-01,4722.204545454545
2016-10-01,4731.261904761905
2016-11-01,5450.931818181818
2016-12-01,5660.35
2017-01-01,5754.559523809524
2017-02-01,5940.9125
2017-03-01,5824.630434782609
2017-04-01,5683.902777777778
2017-05-01,5599.559523809524
2017-06-01,5719.761363636364
2017-07-01,5985.119047619048
2017-08-01,6485.625
2017-09-01,6577.166666666667
2017-10-01,6807.602272727273
2017-11-01,6826.545454545455
2017-12-01,6833.894736842105
2018-01-01,7065.852272727273
2018-02-01,7006.525
2018-03-01,6799.178571428571
2018-04-01,6851.5125
2018-05-01,6825.27380952381
2018-06-01,6965.857142857143
2018-07-01,6250.75
2018-08-01,6051.045454545455
2018-09-01,6050.7625
2018-10-01,6219.586956521739
2018-11-01,6195.920454545455
2018-12-01,6075.315789473684
2019-01-01,5939.102272727273
2019-02-01,6300.4875
2019-03-01,6439.464285714286
2019-04-01,6438.3625
2019-05-01,6017.904761904762
2019-06-01,5882.225
2019-07-01,5941.195652173913
2019-08-01,5709.440476190476
2019-09-01,5759.25
2019-10-01,5757.297826086957
2019-11-01,5859.952380952381
2019-12-01,6077.0625
2020-01-01,6031.209090909091
2020-02-01,5687.75
2020-03-01,5182.631818181818
2020-04-01,5057.972
2020-05-01,5239.826315789474
2020-06-01,5754.595454545455
2020-07-01,6372.460869565217
2020-08-01,6508.392857142857
2020-09-01,6704.9
2020-10-01,6713.811363636364
2020-11-01,7068.907142857143
2020-12-01,7772.238095238095
2021-01-01,7972.1475
2021-02-01,8470.94
2021-03-01,8988.247826086958
2021-04-01,9324.8175
2021-05-01,10166.285
2021-06-01,9631.5
2021-07-01,9450.820454545456
2021-08-01,9370.138571428572
2021-09-01,9324.709545454543
2021-10-01,9829.219047619048
2021-11-01,9728.904545454545
2021-12-01,9551.18
2022-01-01,9782.3375
2022-02-01,9943.175
2022-03-01,10230.89391304348
2022-04-01,10174.34761904762
2022-05-01,9395.027272727271
2022-06-01,9067.55181818182
2022-07-01,7544.809523809524
2022-08-01,7990.812173913043
2022-09-01,7746.011363636364
2022-10-01,7651.082857142857
2022-11-01,8049.861363636364
2022-12-01,8371.091363636364
2023-01-01,9007.346363636363
2023-02-01,8936.587
2023-03-01,8856.310869565217
2023-04-01,8809.1575
2023-05-01,8243.156086956522
2023-06-01,8396.517727272727
2023-07-01,8476.679047619047
2023-08-01,8347.828260869564
2023-09-01,8276.71380952381
2023-10-01,7941.355909090909
2023-11-01,8189.587727272727
2023-12-01,8407.900476190476
2024-01-01,8351.339565217391
2024-02-01,8304.950476190475
2024-03-01,8692.819047619048
2024-04-01,9445.593636363636
2024-05-01,10117.16347826087
2024-06-01,9648.167
2024-07-01,9385.313043478262
2024-08-01,8981.117727272727
2024-09-01,9259.128571428571
2024-10-01,9533.991304347826
2024-11-01,9075.727142857142
2024-12-01,8909.907727272726
2025-01-01,8976.68043478261
2025-02-01,9330.975
2025-03-01,9735.823333333334
2025-04-01,9172.69590909091
2025-05-01,9531.200909090909
2025-06-01,9835.068095238095
2025-07-01,9770.580434782609
2025-08-01,9671.875714285714
2025-09-01,9994.773181818182
2025-10-01,10739.91826086957
2025-11-01,10812.028
2025-12-01,11790.96409090909
2026-01-01,12986.60681818182
2026-02-01,12951.345
2026-03-01,12528.70954545455
