date,value,call_atm_iv,put_atm_iv,expiration_date,dte,strike,underlying_price,source
2026-04-29,0.2367781581878662,0.2270174967765808,0.2465388195991516,2026-05-29,30,419.0,418.91,nasdaq_gld_option_chain+black_scholes
2026-05-05,0.2488335525274277,0.2444836925506592,0.2531834125041962,2026-06-05,31,415.0,414.71,nasdaq_gld_option_chain+black_scholes
2026-05-07,0.2318048460960388,0.2238990441322326,0.239710648059845,2026-06-05,29,434.0,433.77,nasdaq_gld_option_chain+black_scholes
2026-05-11,0.2447983987808228,0.2430627462387085,0.246534051322937,2026-06-12,32,435.0,434.79,nasdaq_gld_option_chain+black_scholes
2026-05-12,0.2430353286504745,0.2395270694255829,0.2465435878753662,2026-06-12,31,433.0,432.95,nasdaq_gld_option_chain+black_scholes
2026-05-13,0.2395842887401581,0.2383516893386841,0.2408168881416321,2026-06-12,30,431.0,430.505,nasdaq_gld_option_chain+black_scholes
2026-05-14,0.2312612626075744,0.2223922688484191,0.2401302563667297,2026-06-12,29,417.0,417.29,nasdaq_gld_option_chain+black_scholes
2026-05-15,0.2353142973899841,0.2261401339530945,0.2444884608268738,2026-06-12,28,417.0,417.355,nasdaq_gld_option_chain+black_scholes
2026-05-18,0.2341877921342849,0.2334332124233245,0.2349423718452453,2026-06-18,31,419.0,418.55,nasdaq_gld_option_chain+black_scholes
2026-06-04,0.2364634519577026,0.2312469577789306,0.2416799461364746,2026-07-02,28,396.0,396.24,nasdaq_gld_option_chain+black_scholes
2026-06-08,0.2336978517532348,0.2323245882034301,0.2350711153030395,2026-07-10,32,397.0,397.24,nasdaq_gld_option_chain+black_scholes
2026-06-11,0.2426955889701843,0.2460190774917602,0.2393721004486084,2026-07-10,29,386.0,386.26,nasdaq_gld_option_chain+black_scholes
2026-06-17,0.2338194427967071,0.2293348790168762,0.2383040065765381,2026-07-17,30,385.0,387.12,nasdaq_gld_option_chain+black_scholes
2026-06-29,0.24771181554794314,0.2434155986785889,0.2520080324172974,2026-07-31,32,369.0,368.57,nasdaq_gld_option_chain+black_scholes
